syllable,tone1,tone2,tone3,tone4,tone5,tones_available
rong,rong1,rong2,rong3,rong4,rong5,1|2|3|4|5
rou,,rou2,rou3,rou4,,2|3|4
ru,,ru2,ru3,ru4,ru5,2|3|4|5
rua,,rua2,,,,2
ruan,,ruan2,ruan3,ruan4,,2|3|4
rui,,rui2,rui3,rui4,,2|3|4
run,,run2,run3,run4,,2|3|4
ruo,,ruo2,,ruo4,,2|4
sa,sa1,,sa3,sa4,sa5,1|3|4|5
sai,sai1,,sai3,sai4,,1|3|4
san,san1,,san3,san4,san5,1|3|4|5
sang,sang1,,sang3,sang4,,1|3|4
sao,sao1,,sao3,sao4,,1|3|4
se,se1,,,se4,,1|4
sen,sen1,,sen3,,,1|3
seng,seng1,,,seng4,,1|4
sha,sha1,sha2,sha3,sha4,sha5,1|2|3|4|5
shai,shai1,,shai3,shai4,,1|3|4
shan,shan1,shan2,shan3,shan4,,1|2|3|4
shang,shang1,,shang3,shang4,shang5,1|3|4|5
shao,shao1,shao2,shao3,shao4,,1|2|3|4
she,she1,she2,she3,she4,,1|2|3|4
shei,,shei2,,,,2
shen,shen1,shen2,shen3,shen4,,1|2|3|4
sheng,sheng1,sheng2,sheng3,sheng4,,1|2|3|4
shi,shi1,shi2,shi3,shi4,shi5,1|2|3|4|5
shou,shou1,shou2,shou3,shou4,shou5,1|2|3|4|5
shu,shu1,shu2,shu3,shu4,,1|2|3|4
shua,shua1,,shua3,shua4,,1|3|4
shuai,shuai1,,shuai3,shuai4,,1|3|4
shuan,shuan1,,,shuan4,,1|4
shuang,shuang1,,shuang3,shuang4,,1|3|4
shui,,shui2,shui3,shui4,shui5,2|3|4|5
shun,,,shun3,shun4,,3|4
shuo,shuo1,shuo2,,shuo4,,1|2|4
si,si1,si2,si3,si4,si5,1|2|3|4|5
song,song1,song2,song3,song4,,1|2|3|4
sou,sou1,,sou3,sou4,,1|3|4
su,su1,su2,su3,su4,,1|2|3|4
suan,suan1,,suan3,suan4,,1|3|4
sui,sui1,sui2,sui3,sui4,,1|2|3|4
sun,sun1,,sun3,sun4,,1|3|4
suo,suo1,suo2,suo3,suo4,suo5,1|2|3|4|5
ta,ta1,ta2,ta3,ta4,ta5,1|2|3|4|5
tai,tai1,tai2,tai3,tai4,tai5,1|2|3|4|5
tan,tan1,tan2,tan3,tan4,,1|2|3|4
tang,tang1,tang2,tang3,tang4,,1|2|3|4
tao,tao1,tao2,tao3,tao4,,1|2|3|4
te,,,,te4,te5,4|5
tei,tei1,,,,,1
teng,teng1,teng2,,teng4,,1|2|4
ti,ti1,ti2,ti3,ti4,,1|2|3|4
tian,tian1,tian2,tian3,tian4,,1|2|3|4
tiao,tiao1,tiao2,tiao3,tiao4,tiao5,1|2|3|4|5
tie,tie1,tie2,tie3,tie4,,1|2|3|4
ting,ting1,ting2,ting3,ting4,,1|2|3|4
tong,tong1,tong2,tong3,tong4,,1|2|3|4
tou,tou1,tou2,tou3,tou4,tou5,1|2|3|4|5
tu,tu1,tu2,tu3,tu4,tu5,1|2|3|4|5
tuan,tuan1,tuan2,tuan3,tuan4,,1|2|3|4
tui,tui1,tui2,tui3,tui4,,1|2|3|4
tun,tun1,tun2,tun3,tun4,,1|2|3|4
tuo,tuo1,tuo2,tuo3,tuo4,,1|2|3|4
wa,wa1,wa2,wa3,wa4,wa5,1|2|3|4|5
wai,wai1,,wai3,wai4,wai5,1|3|4|5
wan,wan1,wan2,wan3,wan4,,1|2|3|4
wang,wang1,wang2,wang3,wang4,,1|2|3|4
wei,wei1,wei2,wei3,wei4,wei5,1|2|3|4|5
wen,wen1,wen2,wen3,wen4,wen5,1|2|3|4|5
weng,weng1,,weng3,weng4,,1|3|4
wo,wo1,,wo3,wo4,,1|3|4
wong,,,,wong4,,4
wu,wu1,wu2,wu3,wu4,wu5,1|2|3|4|5
xi,xi1,xi2,xi3,xi4,,1|2|3|4
xia,xia1,xia2,xia3,xia4,,1|2|3|4
xian,xian1,xian2,xian3,xian4,xian5,1|2|3|4|5
xiang,xiang1,xiang2,xiang3,xiang4,,1|2|3|4
xiao,xiao1,xiao2,xiao3,xiao4,xiao5,1|2|3|4|5
xie,xie1,xie2,xie3,xie4,,1|2|3|4
xin,xin1,xin2,xin3,xin4,xin5,1|2|3|4|5
xing,xing1,xing2,xing3,xing4,xing5,1|2|3|4|5
xiong,xiong1,xiong2,xiong3,xiong4,,1|2|3|4
xiu,xiu1,xiu2,xiu3,xiu4,,1|2|3|4
xu,xu1,xu2,xu3,xu4,xu5,1|2|3|4|5
xuan,xuan1,xuan2,xuan3,xuan4,,1|2|3|4
xue,xue1,xue2,xue3,xue4,,1|2|3|4
xun,xun1,xun2,,xun4,,1|2|4
ya,ya1,ya2,ya3,ya4,ya5,1|2|3|4|5
yan,yan1,yan2,yan3,yan4,,1|2|3|4
yang,yang1,yang2,yang3,yang4,yang5,1|2|3|4|5
yao,yao1,yao2,yao3,yao4,,1|2|3|4
ye,ye1,ye2,ye3,ye4,ye5,1|2|3|4|5
